tchexper,absent,readscore,mathscore,totalscore,boy,white_asian,black,tchwhite,tchmasters,freelunch,small,regular
7,5,427,478,905,1,0,1,1,0,0,0,0
8,28,450,494,944,0,1,0,1,1,0,0,0
3,2,483,513,996,0,0,1,1,0,1,1,0
12,10,456,513,969,1,1,0,1,1,0,0,1
2,3,411,468,879,1,1,0,1,0,0,0,0
7,2,443,473,916,1,1,0,1,1,0,1,0
14,7,448,449,897,1,1,0,1,1,1,0,0
4,8,463,520,983,0,1,0,1,1,1,1,0
6,2,472,536,1008,1,1,0,1,1,0,0,1
11,17,428,484,912,1,1,0,1,0,0,0,0
16,8,545,626,1171,1,1,0,1,0,0,0,0
12,0,408,454,862,1,0,1,1,1,0,0,1
5,31,422,439,861,1,1,0,0,0,0,0,0
17,7,472,528,1000,0,1,0,1,0,0,0,0
6,20,437,463,900,0,1,0,1,0,1,1,0
10,7,450,484,934,0,1,0,1,0,0,0,1
13,2,497,547,1044,0,1,0,1,0,0,0,0
9,19,460,576,1036,0,1,0,1,1,1,0,0
18,24,408,449,857,1,1,0,0,0,0,0,1
7,8,467,576,1043,1,1,0,1,1,0,1,0
13,9,403,392,795,1,1,0,1,0,0,0,0
1,7,411,444,855,1,0,1,0,0,0,0,1
14,4,490,559,1049,1,1,0,1,1,1,1,0
18,19,503,576,1079,0,1,0,1,1,0,1,0
8,3,442,547,989,1,1,0,0,0,0,0,0
4,4,443,484,927,0,1,0,1,0,1,0,1
,15,403,459,862,0,1,0,0,0,0,0,0
13,26,424,444,868,1,1,0,1,0,1,0,0
17,6,413,459,872,0,1,0,1,0,0,0,0
15,5,495,576,1071,0,1,0,1,1,0,0,1
16,10,451,528,979,0,1,0,1,0,1,0,0
13,3,413,468,881,0,0,1,1,1,1,0,1
3,15,393,429,822,0,0,1,1,0,1,0,0
17,13,398,444,842,0,1,0,1,0,0,0,0
11,2,483,506,989,0,1,0,1,0,1,1,0
2,1,431,500,931,0,1,0,1,0,0,1,0
11,12,421,459,880,0,0,1,1,0,1,0,0
10,7,419,468,887,0,0,1,0,1,1,1,0
11,2,472,536,1008,0,0,1,1,0,1,0,0
11,6,405,412,817,0,0,1,1,0,1,0,0
21,4,416,439,855,0,0,1,0,0,1,1,0
2,5,445,468,913,0,1,0,1,0,1,1,0
21,6,428,489,917,0,0,1,0,0,1,1,0
1,4,414,500,914,1,0,1,1,0,1,1,0
10,8,467,489,956,0,0,1,1,0,1,0,0
15,6,461,559,1020,1,1,0,1,1,0,1,0
6,4,398,459,857,1,1,0,1,1,1,1,0
17,3,400,399,799,0,0,1,1,1,1,0,0
17,17,414,463,877,1,0,1,1,1,1,0,0
6,7,433,489,922,1,1,0,1,1,0,1,0
5,9,414,434,848,1,1,0,0,0,0,0,0
13,7,451,506,957,1,1,0,1,1,1,0,1
1,3,414,434,848,0,0,1,0,0,1,1,0
20,5,485,536,1021,1,0,1,0,0,1,0,0
7,23,397,434,831,1,0,1,1,0,1,0,0
21,7,411,473,884,1,0,1,0,0,0,1,0
13,13,427,459,886,1,1,0,1,1,0,0,1
13,0,461,536,997,1,1,0,1,1,0,0,1
11,4,414,454,868,1,1,0,1,0,1,0,0
7,2,451,547,998,1,1,0,1,1,1,0,0
5,10,448,494,942,1,1,0,1,0,0,0,1
0,74,393,418,811,1,1,0,1,0,1,0,1
24,24,440,439,879,1,0,1,0,0,1,0,1
10,10,407,449,856,0,0,1,0,1,1,1,0
7,13,419,434,853,0,1,0,1,1,1,0,0
9,8,443,459,902,0,1,0,1,0,1,0,0
13,3,440,484,924,1,1,0,1,1,0,0,1
17,5,390,444,834,1,1,0,1,0,1,0,0
17,18,402,478,880,1,1,0,1,0,1,0,0
1,12,407,454,861,0,1,0,1,0,1,0,1
13,9,403,429,832,0,1,0,1,1,1,0,1
6,3,408,429,837,1,1,0,1,1,1,0,1
5,6,436,459,895,0,1,0,1,1,0,0,0
8,14,422,418,840,0,1,0,1,0,1,0,0
12,0,428,459,887,0,1,0,1,0,1,0,1
7,8,398,384,782,0,0,1,1,0,1,0,0
9,5,382,405,787,0,0,1,1,0,1,0,0
1,11,450,602,1052,1,1,0,1,0,0,0,1
12,0,431,489,920,0,1,0,1,1,1,0,0
8,25,418,463,881,0,1,0,1,1,1,0,0
13,8,421,500,921,1,1,0,0,0,0,0,1
14,24,424,444,868,0,1,0,1,1,1,0,0
1,12,413,468,881,0,0,1,0,0,1,0,0
17,29,405,429,834,0,1,0,1,0,1,0,0
14,39,418,434,852,1,1,0,1,0,1,0,0
8,3,436,528,964,1,1,0,1,0,0,0,0
11,3,448,489,937,1,1,0,1,0,1,0,0
13,13,408,484,892,0,1,0,1,1,1,0,0
7,55,431,473,904,0,0,1,1,1,1,0,1
1,1,453,536,989,1,1,0,0,0,1,0,1
6,14,425,500,925,1,0,1,1,0,1,1,0
8,27,419,439,858,0,1,0,1,0,1,0,1
6,19,428,439,867,1,0,1,0,0,1,0,1
11,7,447,528,975,1,1,0,1,0,0,0,1
11,3,398,439,837,0,1,0,1,0,0,0,1
5,6,443,494,937,0,0,1,1,1,1,0,0
12,8,428,489,917,1,1,0,1,1,1,0,0
1,6,414,429,843,0,0,1,1,0,1,1,0
5,0,436,506,942,0,1,0,1,0,0,1,0
13,23,414,449,863,1,1,0,1,1,1,0,1
10,11,440,559,999,0,0,1,0,0,1,0,1
12,29,407,473,880,1,1,0,1,1,1,0,0
15,3,437,506,943,1,0,1,1,1,1,0,1
7,5,398,434,832,1,0,1,1,1,0,0,0
3,18,408,449,857,1,1,0,1,0,1,1,0
5,3,456,602,1058,1,1,0,0,0,1,0,0
8,6,436,468,904,1,1,0,1,1,1,0,0
7,36,403,489,892,1,1,0,1,0,1,0,0
20,8,461,559,1020,1,1,0,1,0,0,0,1
3,18,419,439,858,0,0,1,1,0,1,1,0
12,10,433,444,877,1,1,0,1,0,1,0,1
5,7,485,513,998,0,1,0,1,0,0,0,1
3,21,458,602,1060,1,0,1,0,0,1,1,0
12,2,405,429,834,1,1,0,1,1,1,0,1
17,4,410,468,878,1,1,0,1,0,1,0,0
6,7,408,449,857,0,0,1,1,1,1,0,1
1,15,430,478,908,1,1,0,1,0,1,0,1
12,1,433,494,927,1,0,1,1,0,1,0,1
11,1,433,463,896,1,0,1,1,0,1,0,0
10,1,450,468,918,1,0,1,0,1,1,0,0
8,14,456,439,895,1,1,0,1,0,0,0,1
3,9,436,484,920,0,0,1,1,0,0,1,0
24,18,436,473,909,0,0,1,1,1,1,0,1
12,12,458,576,1034,0,1,0,1,0,0,0,1
11,16,405,478,883,1,0,1,1,0,1,0,1
3,10,411,439,850,1,1,0,1,0,0,0,1
11,16,410,439,849,0,0,1,1,0,1,0,0
3,2,485,506,991,0,0,1,1,0,1,1,0
20,17,460,602,1062,1,1,0,1,0,0,0,1
10,12,453,528,981,0,1,0,1,1,1,0,0
8,34,580,500,1080,0,1,0,1,0,0,1,0
12,4,443,506,949,0,1,0,1,1,0,0,1
4,1,495,559,1054,0,1,0,1,1,0,1,0
12,8,403,418,821,0,0,1,1,0,1,0,1
5,9,439,449,888,1,1,0,1,0,0,0,0
24,16,434,528,962,0,0,1,1,1,1,0,1
0,8,431,463,894,1,1,0,1,0,0,0,0
17,15,431,429,860,0,1,0,1,0,1,0,0
6,20,414,412,826,0,1,0,1,0,0,0,1
12,21,418,473,891,0,1,0,1,1,1,1,0
9,21,434,528,962,1,1,0,1,1,1,1,0
10,2,428,463,891,1,0,1,0,0,1,0,0
0,5,447,500,947,1,1,0,1,0,1,1,0
10,2,407,412,819,1,1,0,1,0,0,1,0
12,43,434,528,962,1,1,0,1,0,1,1,0
7,12,388,412,800,1,1,0,1,0,1,0,0
9,0,431,429,860,1,1,0,0,0,0,0,1
5,17,393,418,811,1,0,1,1,0,1,1,0
5,8,424,473,897,1,1,0,0,0,0,0,0
3,10,397,489,886,1,0,1,0,0,1,0,1
8,5,391,392,783,1,0,1,1,1,1,0,1
2,3,485,559,1044,0,0,1,1,0,1,1,0
27,10,442,454,896,0,1,0,1,0,0,0,0
14,5,453,559,1012,0,1,0,1,1,1,1,0
6,3,395,434,829,1,0,1,0,0,1,0,1
12,4,413,454,867,1,1,0,1,1,1,1,0
12,6,422,429,851,1,0,1,0,0,1,0,0
4,11,390,429,819,1,1,0,1,1,0,0,1
8,33,416,506,922,1,1,0,1,0,0,0,1
15,11,403,444,847,1,1,0,1,1,0,1,0
5,15,453,473,926,1,1,0,0,0,0,0,0
14,12,434,489,923,0,1,0,0,1,0,1,0
24,36,478,547,1025,0,0,1,1,1,1,0,0
3,5,410,463,873,1,0,1,0,0,1,1,0
14,7,436,459,895,0,1,0,1,1,0,0,0
7,2,433,463,896,1,0,1,1,1,1,0,1
8,17,421,506,927,1,0,1,0,0,1,0,0
12,4,400,429,829,1,0,1,1,0,1,0,1
5,10,405,439,844,1,1,0,1,0,1,1,0
12,48,450,513,963,0,1,0,1,0,0,1,0
0,9,422,547,969,0,1,0,1,0,0,0,1
12,9,437,463,900,0,1,0,1,0,0,1,0
4,5,421,506,927,0,0,1,1,0,0,0,1
12,4,460,500,960,1,0,1,1,1,1,1,0
0,27,416,468,884,0,0,1,1,0,1,0,1
6,3,421,506,927,1,0,1,1,1,1,1,0
9,4,428,489,917,0,1,0,0,0,0,0,1
5,7,463,536,999,1,0,1,1,0,1,1,0
6,13,414,478,892,1,0,1,0,0,1,1,0
21,0,450,536,986,0,0,1,1,0,0,1,0
22,4,424,429,853,1,0,1,1,1,1,0,0
1,14,448,473,921,0,0,1,0,0,0,0,0
3,1,503,576,1079,0,0,1,0,0,1,1,0
1,4,440,536,976,1,0,1,1,0,1,0,0
6,3,470,463,933,0,0,1,0,0,1,0,1
22,6,433,468,901,1,0,1,1,1,1,0,0
5,16,431,468,899,0,0,1,1,1,1,0,0
16,7,424,459,883,0,0,1,0,0,1,0,0
16,1,436,459,895,0,0,1,0,0,1,0,0
17,34,442,444,886,1,0,1,1,1,1,0,0
9,21,434,506,940,1,0,1,0,0,1,1,0
0,9,421,454,875,0,0,1,1,0,1,0,0
10,1,465,520,985,0,0,1,0,1,0,1,0
1,8,442,528,970,0,0,1,1,0,0,0,1
2,1,388,429,817,0,0,1,1,0,1,0,1
1,15,419,463,882,1,0,1,1,0,1,1,0
22,8,410,459,869,0,0,1,1,1,1,0,0
0,4,461,478,939,1,0,1,0,0,1,0,1
0,6,443,500,943,0,1,0,1,0,0,0,1
21,12,431,423,854,1,0,1,0,0,1,1,0
20,0,490,602,1092,0,0,1,0,0,0,0,1
2,4,388,405,793,1,0,1,1,0,1,0,1
1,17,428,468,896,1,0,1,1,0,1,1,0
22,3,416,439,855,1,0,1,1,1,1,0,0
22,9,414,484,898,0,0,1,1,1,1,0,0
5,16,425,439,864,1,0,1,1,0,1,1,0
11,0,430,489,919,0,0,1,0,1,1,0,1
13,5,433,506,939,0,0,1,1,0,0,1,0
1,3,425,468,893,1,0,1,1,0,1,1,0
11,1,419,468,887,1,0,1,0,1,1,0,1
20,28,461,494,955,0,0,1,0,0,1,0,0
1,28,434,500,934,1,0,1,0,0,1,0,1
22,2,430,513,943,0,0,1,1,1,1,0,0
14,2,442,506,948,1,0,1,1,0,1,1,0
13,18,422,468,890,1,0,1,1,0,1,1,0
6,17,400,429,829,1,0,1,1,0,1,0,0
5,1,427,576,1003,0,0,1,1,0,0,0,1
6,19,408,449,857,1,0,1,1,1,1,0,1
20,23,443,489,932,0,0,1,1,1,0,1,0
7,25,458,478,936,1,0,1,1,0,1,0,0
1,,467,528,995,1,1,0,0,0,0,0,1
6,3,442,520,962,1,1,0,1,1,0,0,0
11,15,413,454,867,0,0,1,1,1,1,0,0
20,0,480,602,1082,0,0,1,0,0,0,0,1
8,13,448,528,976,1,1,0,0,0,0,0,0
15,3,445,484,929,0,0,1,0,1,0,0,0
7,10,439,513,952,0,0,1,1,1,1,0,1
5,9,467,520,987,0,0,1,0,0,1,0,0
