Time,Total Power,Radiation
2015-01-01T00:00:00Z,0,0
2015-01-01T01:00:00Z,0,0
2015-01-01T02:00:00Z,0,0
2015-01-01T03:00:00Z,0,0
2015-01-01T04:00:00Z,0,0
2015-01-01T05:00:00Z,0,0
2015-01-01T06:00:00Z,0,0.009
2015-01-01T07:00:00Z,2,1.5613
2015-01-01T08:00:00Z,10,7.5467
2015-01-01T09:00:00Z,21,17.2073
2015-01-01T10:00:00Z,32,35.4289
2015-01-01T11:00:00Z,37,58.5238
2015-01-01T12:00:00Z,35,59.1383
2015-01-01T13:00:00Z,27,32.5552
2015-01-01T14:00:00Z,14,6.6182
2015-01-01T15:00:00Z,3,0.16
2015-01-01T16:00:00Z,0,0
2015-01-01T17:00:00Z,0,0
2015-01-01T18:00:00Z,0,0
2015-01-01T19:00:00Z,0,0
2015-01-01T20:00:00Z,0,0
2015-01-01T21:00:00Z,0,0
2015-01-01T22:00:00Z,0,0
2015-01-01T23:00:00Z,0,0
2015-01-02T00:00:00Z,0,0
2015-01-02T01:00:00Z,0,0
2015-01-02T02:00:00Z,0,0
2015-01-02T03:00:00Z,0,0
2015-01-02T04:00:00Z,0,0
2015-01-02T05:00:00Z,0,0
2015-01-02T06:00:00Z,0,0.0718
2015-01-02T07:00:00Z,3,13.7908
2015-01-02T08:00:00Z,15,68.0748
2015-01-02T09:00:00Z,33,136.944
2015-01-02T10:00:00Z,50,193.0618
2015-01-02T11:00:00Z,58,192.043
2015-01-02T12:00:00Z,55,109.1949
2015-01-02T13:00:00Z,41,21.2788
2015-01-02T14:00:00Z,20,1.5623
2015-01-02T15:00:00Z,4,0.0195
2015-01-02T16:00:00Z,0,0
2015-01-02T17:00:00Z,0,0
2015-01-02T18:00:00Z,0,0
2015-01-02T19:00:00Z,0,0
2015-01-02T20:00:00Z,0,0
2015-01-02T21:00:00Z,0,0
2015-01-02T22:00:00Z,0,0
2015-01-02T23:00:00Z,0,0
2015-01-03T00:00:00Z,0,0
2015-01-03T01:00:00Z,0,0
2015-01-03T02:00:00Z,0,0
2015-01-03T03:00:00Z,0,0
2015-01-03T04:00:00Z,0,0
2015-01-03T05:00:00Z,0,0
2015-01-03T06:00:00Z,1,0.0363
2015-01-03T07:00:00Z,5,4.5291
2015-01-03T08:00:00Z,20,15.5225
2015-01-03T09:00:00Z,41,26.7716
2015-01-03T10:00:00Z,58,29.9469
2015-01-03T11:00:00Z,65,10.4806
2015-01-03T12:00:00Z,59,2.9696
2015-01-03T13:00:00Z,43,1.1513
2015-01-03T14:00:00Z,23,0.2841
2015-01-03T15:00:00Z,6,0.0065
2015-01-03T16:00:00Z,0,0
2015-01-03T17:00:00Z,0,0
2015-01-03T18:00:00Z,0,0
2015-01-03T19:00:00Z,0,0
2015-01-03T20:00:00Z,0,0
2015-01-03T21:00:00Z,0,0
2015-01-03T22:00:00Z,0,0
2015-01-03T23:00:00Z,0,0
2015-01-04T00:00:00Z,0,0
2015-01-04T01:00:00Z,0,0
2015-01-04T02:00:00Z,0,0
2015-01-04T03:00:00Z,0,0
2015-01-04T04:00:00Z,0,0
2015-01-04T05:00:00Z,0,0
2015-01-04T06:00:00Z,0,0.0698
2015-01-04T07:00:00Z,3,9.076
2015-01-04T08:00:00Z,14,40.8557
2015-01-04T09:00:00Z,28,72.8444
2015-01-04T10:00:00Z,40,97.9163
2015-01-04T11:00:00Z,46,94.755
2015-01-04T12:00:00Z,42,59.8163
2015-01-04T13:00:00Z,31,20.5001
2015-01-04T14:00:00Z,16,4.2118
2015-01-04T15:00:00Z,4,0.0487
2015-01-04T16:00:00Z,0,0
2015-01-04T17:00:00Z,0,0
2015-01-04T18:00:00Z,0,0
