id,Price,Usage
13551,6500000,Private
15071,4200000,Public
16171,18100000,Private
14399,12900000,Public
9704,35000000,Public
32890,7433000,Public
13631,3500000,Public
9407,5200000,Public
26027,8256000,Private
20139,8520000,Public
22061,7428000,Private
22121,6000000,Public
9640,45000000,Public
18757,8200000,Public
28819,6900000,Private
22748,5200000,Private
14816,3500000,Public
1118,6266000,Public
12678,24500000,Private
11502,3800000,Public
32103,10100000,Private
22505,10300000,Public
11598,2300000,Public
890,9086000,Private
585,3321000,Private
21348,17700000,Public
32738,13899999,Public
3286,10000000,Private
27249,2340000,Public
11373,5500000,Private
25927,16000000,Private
8622,2980000,Private
4774,3769000,Public
21196,11299999,Public
23033,6300000,Private
29365,29500000,Private
31342,10000000,Public
16677,14500000,Public
21683,5023000,Private
32803,4047999,Public
10202,10000000,Public
27414,5635000,Private
4405,4400000,Private
18005,8600000,Private
24005,5335000,Public
32282,7943000,Public
29262,4873000,Private
10577,8500000,Private
8596,3060000,Private
26520,2099000,Private
4990,4161999,Public
10746,23000000,Private
8206,355600000,Private
19351,9200000,Private
25302,7020000,Public
7439,20000000,Public
7289,4600000,Private
911,5000000,Public
14461,15200000,Public
18842,10100000,Private
26056,2600000,Private
10397,5000000,Private
7579,3500000,Public
27629,6600000,Private
1530,4930000,Public
11056,14000000,Public
10385,16800000,Private
28546,4000000,Public
3580,6828000,Public
29037,16500000,Private
15904,3622000,Private
30309,3972000,Private
31204,8400000,Public
28340,2411000,Private
25738,49200000,Private
24168,5800000,Public
19271,11000000,Private
5610,3000000,Private
12133,13500000,Private
27164,6900000,Public
2320,4722000,Private
31166,6030000,Public
11791,65000000,Public
1281,7200000,Public
14795,5650000,Private
32314,5027000,Private
20429,7783000,Public
29718,8900000,Private
19793,4150000,Private
19772,22500000,Public
21882,17500000,Public
25524,8400000,Public
11879,21500000,Public
23129,5250000,Public
6202,3800000,Public
24498,8400000,Private
4884,17900000,Private
17651,22500000,Private
9535,2400000,Public
23259,4809000,Public
758,4000000,Public
9100,2336000,Public
18968,4284000,Public
6187,18000000,Public
25959,16200000,Public
20233,5500000,Private
17048,4170000,Private
13820,47800000,Public
11068,11100000,Public
2980,3027000,Private
4165,6100000,Public
29403,2300000,Public
3833,35500000,Private
5386,3100000,Private
11747,52500000,Private
8570,11000000,Public
25787,4240000,Public
25820,10900000,Private
18250,5500000,Private
23810,9000000,Public
11717,6500000,Public
22308,5143000,Private
21403,13400000,Private
1959,7490000,Public
14583,22200000,Private
4058,5400000,Public
30294,2062000,Public
2683,8700000,Private
14159,13500000,Public
5883,19000000,Private
1837,4217000,Public
14660,5200000,Private
6896,21500000,Private
9898,10000000,Public
8483,13000000,Public
18654,3300000,Private
16757,13300000,Public
2571,9545000,Private
2647,7869000,Public
5186,16500000,Public
21139,12500000,Private
20510,6750000,Public
20859,6494000,Private
8801,2905000,Private
28570,3300000,Private
6246,18800000,Private
11438,10700000,Private
8931,2350000,Public
21355,5552000,Private
14469,4200000,Private
13583,2000000,Private
28363,4600000,Private
18538,34000000,Private
14931,3565999,Private
31089,4567000,Private
